,number,value,datetime_start,datetime_complete,duration,params_emb_size,params_heads,params_layers,system_attrs_grid_id,system_attrs_search_space,state
0,0,0.03482760080367636,2021-01-05 15:55:58.522848,2021-01-05 16:21:23.846065,0 days 00:25:25.323217,128,1,2,19,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
1,1,0.04582884597901679,2021-01-05 16:21:23.846673,2021-01-05 17:17:24.710872,0 days 00:56:00.864199,512,1,2,28,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
2,2,0.06933899536603302,2021-01-05 17:17:24.711494,2021-01-05 17:25:30.176959,0 days 00:08:05.465465,32,8,1,15,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
3,3,0.026520031312838286,2021-01-05 17:25:30.177617,2021-01-05 20:05:33.930457,0 days 02:40:03.752840,512,1,8,29,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
4,4,0.03085606736757148,2021-01-05 20:05:33.931100,2021-01-05 20:26:45.897037,0 days 00:21:11.965937,16,1,2,1,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
5,5,0.03214675064956227,2021-01-05 20:26:45.897681,2021-01-05 20:50:25.314973,0 days 00:23:39.417292,128,1,1,18,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
6,6,0.033498888068359475,2021-01-05 20:50:25.315606,2021-01-05 21:06:37.187331,0 days 00:16:11.871725,16,2,1,3,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
7,7,0.14636130652593282,2021-01-05 21:06:37.187880,2021-01-05 21:24:22.469446,0 days 00:17:45.281566,16,2,8,5,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
8,8,0.018724064899782653,2021-01-05 21:24:22.470087,2021-01-06 02:57:02.902405,0 days 05:32:40.432318,512,2,8,32,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
9,9,0.024310294389778334,2021-01-06 02:57:02.903047,2021-01-06 03:25:25.316852,0 days 00:28:22.413805,16,2,2,4,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
10,10,0.11494961132858655,2021-01-06 03:25:25.317476,2021-01-06 03:53:53.048497,0 days 00:28:27.731021,128,8,8,26,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
11,11,0.03469198511664828,2021-01-06 03:53:53.049174,2021-01-06 04:51:49.972346,0 days 00:57:56.923172,512,2,2,31,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
12,12,0.046020469265988316,2021-01-06 04:51:49.973000,2021-01-06 05:29:46.271613,0 days 00:37:56.298613,128,1,8,20,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
13,13,0.026823130817483155,2021-01-06 05:29:46.272368,2021-01-06 06:09:54.520089,0 days 00:40:08.247721,16,8,2,7,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
14,14,0.12120720289226727,2021-01-06 06:09:54.520739,2021-01-06 06:21:29.474701,0 days 00:11:34.953962,512,8,1,33,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
15,15,0.05421215786696571,2021-01-06 06:21:29.475339,2021-01-06 06:37:47.041706,0 days 00:16:17.566367,32,1,1,9,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
16,16,0.02417888669483359,2021-01-06 06:37:47.042344,2021-01-06 09:26:43.163496,0 days 02:48:56.121152,512,8,8,35,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
17,17,0.031717738197241115,2021-01-06 09:26:43.164154,2021-01-06 09:56:18.943369,0 days 00:29:35.779215,32,8,2,16,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
18,18,0.19422035861832784,2021-01-06 09:56:18.943946,2021-01-06 10:13:44.036830,0 days 00:17:25.092884,16,1,8,2,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
19,19,0.15061942777544346,2021-01-06 10:13:44.037440,2021-01-06 10:31:39.138986,0 days 00:17:55.101546,32,1,8,11,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
20,20,0.04012707165430989,2021-01-06 10:31:39.139670,2021-01-06 10:59:39.629596,0 days 00:28:00.489926,128,8,2,25,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
21,21,0.031170559447201672,2021-01-06 10:59:39.630261,2021-01-06 11:58:21.702738,0 days 00:58:42.072477,512,8,2,34,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
22,22,0.1100887086390725,2021-01-06 11:58:21.703319,2021-01-06 12:09:35.141449,0 days 00:11:13.438130,512,1,1,27,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
23,23,0.0354936581305476,2021-01-06 12:09:35.142075,2021-01-06 12:22:44.810884,0 days 00:13:09.668809,128,2,2,22,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
24,24,0.13103073663726364,2021-01-06 12:22:44.811521,2021-01-06 12:41:20.503854,0 days 00:18:35.692333,32,2,8,14,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
25,25,0.06699506075710192,2021-01-06 12:41:20.504593,2021-01-06 12:49:23.057473,0 days 00:08:02.552880,16,8,1,6,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
26,26,0.03221470697831727,2021-01-06 12:49:23.058080,2021-01-06 13:14:48.141495,0 days 00:25:25.083415,32,2,2,13,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
27,27,0.037331503500762094,2021-01-06 13:14:48.142139,2021-01-06 13:27:01.645080,0 days 00:12:13.502941,128,2,1,21,"OrderedDict([('emb_size', [16, 32, 128, 512]), ('heads', [1, 2, 8]), ('layers', [1, 2, 8])])",COMPLETE
