date,current_epoch,max_epoch,training_time,total_loss,agv_loss,mad,fad,layers,emb_size,heads,dropout,x,y,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,total_train_time
01-01-2021_17s-03m-15h,1,20,84.8837,157.13297867774963,2.1824024816354117,1.081738549585146,2.218630497485158,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,2,20,85.0071,54.29106706380844,0.7540425981084505,0.7770802062351573,1.5150274244139144,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,3,20,84.7346,33.01701292395592,0.45856962394383216,0.6422522375634093,1.2529086086989505,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,4,20,84.9014,24.81934216618538,0.3447130856414636,0.5911171284552279,1.1541987068329012,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,5,20,84.9811,20.9061017036438,0.29036252366171944,0.7402526168557244,1.4378475782742788,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,6,20,85.1331,18.840911597013474,0.26167932773629826,0.8133600342882336,1.582276495182234,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,7,20,84.7724,16.99487790465355,0.23603997089796597,0.7228936706467217,1.4006868220839879,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,8,20,84.5562,15.869753062725067,0.2204132369822926,0.8142261478285939,1.525457711073533,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,9,20,84.4745,14.136311933398247,0.19633766574164233,0.847228857353784,1.5813254708249267,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,10,20,84.7854,13.24654795229435,0.18397983267075485,0.9471333331458214,1.7895730677085073,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,11,20,84.2466,12.317904770374298,0.17108201069964302,0.7471240059843854,1.4424822176691157,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,12,20,84.2605,11.510479390621185,0.15986776931418312,0.45816669243916874,0.902998086043515,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,13,20,84.1655,10.881153956055641,0.15112713827855057,0.5161940373817645,1.0319176723494443,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,14,20,84.0438,10.270886033773422,0.14265119491351974,0.5100940143412365,1.0280025721828345,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,15,20,84.3250,10.073092855513096,0.13990406743768188,0.3534043945353388,0.7419935355682588,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,16,20,84.1727,9.492805361747742,0.13184451891316307,0.32804334243062055,0.673432897940301,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,17,20,84.0486,9.25792770087719,0.12858232917884985,0.3027752825586811,0.6304407481496145,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,18,20,84.3103,9.102422460913658,0.12642253417935637,0.32424880678875706,0.6696408322163176,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,19,20,84.0709,8.72320368885994,0.12115560678972138,0.25203987409646667,0.4934367140327628,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
01-01-2021_17s-03m-15h,20,20,84.4596,8.65305032581091,0.12018125452515152,0.21446295721096484,0.4167073095113481,8,512,16,0.8014683685034795,1,1,1,1,0,0,0,0,0,1691.5309607982635
