date,current_epoch,max_epoch,training_time,total_loss,agv_loss,mad,fad,layers,emb_size,heads,dropout,x,y,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,total_train_time
01-01-2021_06s-49m-01h,1,20,31.5246,221.17085868120193,1.5466493614070065,0.7412474945242944,1.4482231608801501,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,2,20,31.5164,79.97728714346886,0.559281728276006,0.35711248944142027,0.6854431872084027,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,3,20,31.5451,55.312139213085175,0.38679817631528096,0.45562099262416744,0.7920267168774944,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,4,20,31.5290,46.169606029987335,0.3228643778320793,0.6464395193626677,1.1549383536585227,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,5,20,31.5949,41.469589591026306,0.289997130007177,0.7645835123832824,1.3757358246211158,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,6,20,31.5873,38.593832582235336,0.26988694113451284,0.7372150052872382,1.3246785306518214,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,7,20,31.5502,36.49040725827217,0.2551776731347704,0.8332859001831278,1.5049378821226878,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,8,20,31.5351,34.64696583151817,0.24228647434628092,0.8090642454350505,1.4603114861564919,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,9,20,31.5825,33.048489078879356,0.23110831523691858,0.8486412676118671,1.5387813335275735,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,10,20,31.5348,31.458056315779686,0.21998640780265516,0.908151398086348,1.6507122042304934,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,11,20,31.5515,29.818799644708633,0.20852307443852192,0.8164252507803766,1.4720327545137908,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,12,20,31.5473,28.173921763896942,0.19702043191536323,0.8846052547584992,1.603060535398508,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,13,20,31.5435,27.256297320127487,0.19060347776312928,0.9815776353092216,1.7874779240748164,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,14,20,31.5308,26.08200466632843,0.18239164102327574,0.8923570599509485,1.6215431458159628,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,15,20,31.5743,25.42908450961113,0.17782576580147644,0.8618853213066808,1.561567660432441,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,16,20,32.1920,24.571178272366524,0.1718264214850806,0.8966518548457955,1.6303539523685022,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,17,20,32.3804,23.916243851184845,0.16724646049779612,0.8965869967665042,1.6299698553119273,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,18,20,30.6959,23.406249150633812,0.16368006399044624,0.8164269579072287,1.4830310100466482,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,19,20,30.6439,22.886257752776146,0.1600437605089241,0.8569854394664365,1.5585989706470966,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
01-01-2021_06s-49m-01h,20,20,30.6595,22.611896082758904,0.15812514743188044,0.8588483548483816,1.5633418557467926,14,16,16,0.7397922143146678,1,1,1,1,1,1,1,1,0,629.9760658740997
