date,current_epoch,max_epoch,training_time,total_loss,agv_loss,mad,fad,layers,emb_size,heads,dropout,x,y,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,total_train_time
31-12-2020_15s-42m-17h,1,20,20.9085,139.65020367503166,0.9765748508743473,0.1074673623597464,0.1696931409910891,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,2,20,20.9380,39.04934599995613,0.2730723496500429,0.13278086840532197,0.23491079595763695,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,3,20,20.8921,29.41457299888134,0.2056963146774919,0.14665870348175403,0.26045658062800303,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,4,20,20.8930,24.898695304989815,0.17411675038454416,0.12367833710056182,0.21950012351895018,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,5,20,20.9167,23.09567854553461,0.16150824157716512,0.16223567261085078,0.2980482141500104,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,6,20,20.8930,20.46952737122774,0.14314354805054363,0.1715938007914669,0.3237805368804034,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,7,20,20.8819,18.778570532798767,0.13131867505453684,0.12390193645090908,0.22412856277950122,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,8,20,20.9055,16.633131965994835,0.11631560815381004,0.07767560083774942,0.1495091998342965,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,9,20,21.1122,14.57330609112978,0.10191123140650196,0.15107468915697717,0.29498686564871573,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,10,20,21.0841,13.848441544920206,0.09684224856587556,0.08744220345584014,0.17786806820755144,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,11,20,20.9505,11.812633365392685,0.08260582773001877,0.10689122709072421,0.2172121964036362,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,12,20,20.8787,10.564777109771967,0.07387956020819557,0.09187895594130856,0.18450664511712928,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,13,20,20.8777,9.860077269375324,0.06895158929633094,0.06272777153868424,0.12380556705181998,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,14,20,20.9066,9.538519490510225,0.0667029335000715,0.09209649537728852,0.1875641425155197,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,15,20,21.3094,8.87735728546977,0.06207942157671168,0.10316747651940605,0.20847940777173452,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,16,20,20.8836,8.157836470752954,0.057047807487782896,0.09643048123689338,0.1943173373637851,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,17,20,20.9302,7.780496641993523,0.05440906742652813,0.08748861864035756,0.18180789896608315,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,18,20,21.0204,7.156591851264238,0.05004609686198768,0.06228514657419038,0.11936330601637488,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,19,20,21.0632,7.491623822599649,0.05238897778041713,0.05596693995319276,0.1136405572954402,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
31-12-2020_15s-42m-17h,20,20,21.1275,7.074132245033979,0.049469456258978875,0.07635758926841889,0.15012175144424147,6,256,4,0.1933987405565447,1,1,1,1,1,1,1,1,1,419.71133756637573
