date,current_epoch,max_epoch,training_time,total_loss,agv_loss,mad,fad,layers,emb_size,heads,dropout,x,y,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,total_train_time
06-01-2021_22h-43m-46s,1,1000,40.7679,64.47686684131622,0.8955120394627253,0.40247345288987146,0.7756573206930683,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,2,1000,40.7101,32.63505166769028,0.4532646064956983,0.2355201777756876,0.46196763308702765,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,3,1000,40.6767,44.47116184234619,0.6176550255881416,0.15621501732515933,0.3153274926879232,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,4,1000,40.6787,34.25931850075722,0.47582386806607246,0.14455818972495477,0.28363813915411157,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,5,1000,40.7223,29.59840041399002,0.4110888946387503,0.2607566682964276,0.49239231214263757,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,6,1000,40.6503,26.98697556555271,0.374819105077121,0.18452222360707793,0.3716259664200992,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,7,1000,40.6719,16.25001350045204,0.2256946319507228,0.24891722565740484,0.4792734653226462,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,8,1000,40.6595,19.571736931800842,0.27182967960834503,0.21278774671739217,0.4265525185657099,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,9,1000,40.6525,19.405751042068005,0.2695243200287223,0.282929485707241,0.5426276281705052,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,10,1000,40.6961,13.92337304353714,0.19338018116023806,0.1720373127232692,0.35074994172977497,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,11,1000,40.6473,12.43677643686533,0.17273300606757402,0.2783791593567842,0.6165316797562923,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,12,1000,40.6559,11.145570404827595,0.15479958895593882,0.16405945621184254,0.3373454080644617,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,13,1000,40.6422,8.873715221881866,0.12324604474835926,0.23488687433546138,0.5006652314196872,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,14,1000,40.6499,7.4384943544864655,0.1033124215900898,0.20435136701382142,0.40714432409697454,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,15,1000,40.6467,5.957245517522097,0.08273952107669579,0.17924133290668623,0.41037609463981917,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,16,1000,40.6408,5.3311630710959435,0.07404393154299921,0.22112723500280593,0.4898761330757802,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,17,1000,40.6287,5.0943070985376835,0.07075426525746782,0.13969143064259523,0.339005084135216,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,18,1000,40.6259,5.277540594339371,0.07329917492138015,0.33488884051646545,0.7151189408339603,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,19,1000,40.6401,4.86088664457202,0.06751231450794472,0.15920303037213618,0.3797048635490379,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,20,1000,40.6211,4.212482389062643,0.058506699848092265,0.18174477953283366,0.42474523372469525,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,21,1000,40.6518,4.038707822561264,0.05609316420223978,0.11543846125921908,0.2685112271030541,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,22,1000,40.6362,3.8789898306131363,0.05387485875851578,0.1487046723792403,0.332633946284668,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,23,1000,40.6199,4.106356739997864,0.05703273249997033,0.17215439095082433,0.3757944010499902,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,24,1000,40.6449,3.5779931098222733,0.04969434874753157,0.16882780817216114,0.38750110273141153,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,25,1000,40.6187,3.692234668880701,0.05128103706778751,0.16879565045210457,0.3629759387482757,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,26,1000,40.6624,3.3524327725172043,0.04656156628496117,0.1379150119393816,0.29957436770357787,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,27,1000,40.6243,3.1823859438300133,0.04419980477541685,0.12683880636400166,0.3017465989129934,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,28,1000,40.6196,3.4065777249634266,0.04731357951338092,0.10046058740110424,0.23272758084143516,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,29,1000,40.6432,3.0800266712903976,0.04277814821236663,0.11229028765893241,0.26085081206806116,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,30,1000,40.6351,3.1734101474285126,0.04407514093650712,0.11692983021562016,0.26835260497886926,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,31,1000,40.6055,3.121512323617935,0.043354337828026876,0.1210392359791452,0.26649757083108716,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,32,1000,40.6467,2.9715813621878624,0.04127196336372031,0.15120575049381854,0.3244714616524678,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,33,1000,40.6039,2.9792681224644184,0.04137872392311692,0.1102650336922861,0.251074347471775,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
06-01-2021_22h-43m-46s,34,1000,40.6100,2.87028481811285,0.03986506691823403,0.15598383848625422,0.36825283021574806,8,512,2,0.1,1,1,1,1,1,1,1,0,0,16250.428441524506
