date,current_epoch,max_epoch,training_time,total_loss,agv_loss,mad,fad,layers,emb_size,heads,dropout,x,y,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,total_train_time
05-01-2021_20h-50m-25s,1,1000,3.1960,92.90582609176636,1.2903586957189772,0.829282964670811,1.2781263065328035,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,2,1000,3.2201,26.812431752681732,0.37239488545391297,0.23794846282711996,0.3997596248682611,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,3,1000,3.1948,16.87033449113369,0.2343102012657457,0.1700547537702961,0.3041427058470079,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,4,1000,3.1948,13.711806014180183,0.19044175019694698,0.2315484397110051,0.43670832863774905,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,5,1000,3.2243,12.237157806754112,0.1699605250938071,0.13175634904083425,0.2386323216387213,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,6,1000,3.1906,11.109595000743866,0.15429993056588703,0.1457470436038296,0.2770724288535776,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,7,1000,3.2188,10.424830585718155,0.14478931369052994,0.20595897730455104,0.38726998301928683,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,8,1000,3.1998,9.909161940217018,0.1376272491696808,0.15203288875514182,0.2967379157684305,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,9,1000,3.2019,9.473469600081444,0.13157596666779783,0.19676613311458818,0.36612639716983975,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,10,1000,3.2221,9.034856639802456,0.12548411999725634,0.15530914011033436,0.3048408499844808,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,11,1000,3.2213,8.379454098641872,0.11638130692558156,0.1635652569465982,0.30487188010646565,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,12,1000,3.1908,7.8020730167627335,0.10836212523281574,0.13767738618892583,0.26153612082601424,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,13,1000,3.2136,7.60850153118372,0.10567363237755166,0.20302082391560095,0.38276083430472285,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,14,1000,3.2125,7.276113048195839,0.10105712566938665,0.14265944477814954,0.268274213768112,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,15,1000,3.1945,6.692634709179401,0.0929532598497139,0.1336757880679778,0.25231088629428244,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,16,1000,3.2185,6.49354587495327,0.09018813715212876,0.1402348840746004,0.2673034497588053,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,17,1000,3.1967,6.131805278360844,0.08516396219945616,0.08889326047953253,0.1624405831214927,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,18,1000,3.2117,6.038229390978813,0.08386429709692796,0.0825622239232673,0.15964319750635028,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,19,1000,3.1871,5.732417114078999,0.07961690436220831,0.10518488975323086,0.20082607961699656,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,20,1000,3.2918,5.6261995285749435,0.07814166011909644,0.09877253634619015,0.1839017297917735,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,21,1000,3.3163,5.374073214828968,0.07463990576151344,0.13386668628360684,0.2667341430881638,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,22,1000,3.3322,5.293244451284409,0.07351728404561679,0.09753936537798191,0.1880659916833702,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,23,1000,3.2910,5.067936636507511,0.0703880088403821,0.1169636153575213,0.22396570370754784,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,24,1000,3.2923,5.007641412317753,0.0695505751710799,0.07742070368571947,0.1370390846373017,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,25,1000,3.3139,4.8527941554784775,0.06739991882608996,0.08363999895102513,0.16338825073040764,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,26,1000,3.2938,4.830746106803417,0.06709369592782524,0.1584013420682083,0.30365083654824326,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,27,1000,3.3167,4.770369041711092,0.06625512557932073,0.0728394862785285,0.13825501998040224,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,28,1000,3.3100,4.5866858176887035,0.06370396969012088,0.11311873434078566,0.22297987008565467,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,29,1000,3.2953,4.532517299056053,0.06295162915355629,0.1280948692794095,0.25073171461771177,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,30,1000,3.3242,4.5165849179029465,0.06273034608198537,0.0670337336182138,0.13267925392072474,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,31,1000,3.3048,4.431951988488436,0.06155488872900605,0.07629418376305597,0.1386787409686377,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,32,1000,3.3305,4.408523444086313,0.061229492278976574,0.0833737669769935,0.1641706741377398,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,33,1000,3.3308,4.346379064023495,0.0603663758892152,0.10757023310381365,0.207319851548441,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,34,1000,3.1273,4.280993714928627,0.05945824604067537,0.06721679463748777,0.12380968389122507,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,35,1000,3.1619,4.231590207666159,0.058772086217585534,0.07138356874689511,0.13729315402794431,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,36,1000,3.1633,4.217782974243164,0.05858031908671061,0.11536472902030175,0.225341762309327,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,37,1000,3.1423,4.18446384370327,0.05811755338476764,0.07646996159493791,0.14996701186907194,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,38,1000,3.1329,4.054969396442175,0.05631901939503021,0.06841031944730214,0.12432724855168668,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,39,1000,3.1589,4.057212006300688,0.05635016675417622,0.0822190496217338,0.16804507869610125,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,40,1000,3.1364,4.0612618662416935,0.05640641480891241,0.0657322092608593,0.13274541442653087,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,41,1000,3.1532,3.9097041450440884,0.05430144645894567,0.0833805970117916,0.16205756698934773,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,42,1000,3.1359,3.8906792998313904,0.0540372124976582,0.09364251263630831,0.18255533462302473,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,43,1000,3.1345,3.8577484786510468,0.05357983998126454,0.05750946860746238,0.11104177942109243,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,44,1000,3.1570,3.841241806745529,0.05335058064924346,0.06517728615270714,0.11553257462607112,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,45,1000,3.1537,3.7965088672935963,0.05272928982352217,0.07200950516887811,0.14125798627034525,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,46,1000,3.1471,3.773667089641094,0.05241204291168186,0.07899038253130175,0.14879909144060766,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,47,1000,3.1616,3.7435364350676537,0.051993561598161854,0.06529490523019904,0.12647260834653082,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,48,1000,3.1249,3.717075526714325,0.0516260489821434,0.05359361046045972,0.1000434506239133,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,49,1000,3.1382,3.6899140924215317,0.05124880683918794,0.07148336250445161,0.1381585004640713,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,50,1000,3.1581,3.6437586545944214,0.05060775909158918,0.09480791699329665,0.1854168987587,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,51,1000,3.1667,3.6361309587955475,0.05050181887216038,0.056226699984964074,0.09918891517526515,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,52,1000,3.2906,3.6528302133083344,0.05073375296261576,0.07025795688439193,0.13709215195324226,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,53,1000,3.3200,3.592464793473482,0.04989534435379836,0.09753901532468491,0.19675593525663088,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,54,1000,3.3154,3.5549228750169277,0.04937392881967955,0.08354061373815308,0.16464785964668985,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,55,1000,3.3329,3.6278516575694084,0.050386828577352896,0.07013114147973652,0.1382211870045084,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,56,1000,3.3343,3.526609029620886,0.04898068096695675,0.06181600004617331,0.11883586573238424,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,57,1000,3.3098,3.520944766700268,0.04890201064861483,0.06860160127461379,0.13953379597696752,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,58,1000,3.3191,3.4685417152941227,0.048174190490196146,0.061003761177010486,0.11570915967999915,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,59,1000,3.2663,3.496660802513361,0.048564733368241124,0.08234849407060747,0.16556096917970678,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,60,1000,3.2342,3.436285212635994,0.04772618350883325,0.06093487837999282,0.11885754378759243,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,61,1000,3.2518,3.4246176555752754,0.04756413410521216,0.054618908423214395,0.10146151218646722,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,62,1000,3.2321,3.3758832588791847,0.04688726748443312,0.07057174718922786,0.13033094355851707,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,63,1000,3.2269,3.3558220714330673,0.046608639881014824,0.06849497188163292,0.13142288037365538,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,64,1000,3.2629,3.3255417831242085,0.04618808032116956,0.050862003273888484,0.09640928810444346,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,65,1000,3.2433,3.370763525366783,0.046816160074538656,0.05654832396082277,0.1119557008884169,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,66,1000,3.2540,3.3249684683978558,0.04618011761663689,0.06471450019854214,0.12345269581006958,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,67,1000,3.2299,3.3105530589818954,0.04597990359697077,0.06608209244470473,0.1313121823370088,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,68,1000,3.2327,3.296304162591696,0.045782002258218,0.08113099725282409,0.16441446657467967,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,69,1000,3.2553,3.3033085726201534,0.04587928573083547,0.06460560791914831,0.1208206856204837,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,70,1000,3.2576,3.260986417531967,0.04529147802127732,0.06325236445299749,0.12596463990138326,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,71,1000,3.2287,3.2374548353254795,0.04496465049063166,0.06010230549303476,0.11892028303296867,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,72,1000,3.2262,3.2341152355074883,0.044918267159826226,0.06341672612659324,0.12612098034464214,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,73,1000,3.2542,3.243718806654215,0.045051650092419654,0.06409883211383784,0.12759279247157831,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,74,1000,3.2377,3.2046321034431458,0.044508779214488134,0.05720826244731079,0.11096295083095595,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,75,1000,3.2583,3.184699308127165,0.04423193483509951,0.0521181094057593,0.10238334873616892,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,76,1000,3.2280,3.1522384770214558,0.04378108995863133,0.051082309044534265,0.0996981654022718,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,77,1000,3.2309,3.1594255790114403,0.04388091081960334,0.06062095996085202,0.11757205131278052,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,78,1000,3.2548,3.1818104572594166,0.04419181190638079,0.06443157066687472,0.127549764922669,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,79,1000,3.2618,3.1581309884786606,0.04386293039553695,0.0628631493848983,0.12417635235033324,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,80,1000,3.2395,3.1251986734569073,0.043405537131345935,0.0676154315420842,0.1359820303087408,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,81,1000,3.2490,3.092201102524996,0.042947237535069384,0.06769420432291705,0.13333088256486672,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,82,1000,3.2288,3.1529763005673885,0.0437913375078804,0.05511122460715363,0.10634044262673131,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,83,1000,3.2258,3.1008966602385044,0.04306800916997923,0.055945382295545465,0.11026631068287458,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,84,1000,3.2584,3.106482233852148,0.043145586581279836,0.053833622624834536,0.10764793368549659,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,85,1000,3.2357,3.0572644248604774,0.04246200590083996,0.05052439135640444,0.09817919290476658,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,86,1000,3.2570,3.046130206435919,0.04230736397827665,0.048132441716775914,0.09361255082476456,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,87,1000,3.2319,3.0641141161322594,0.04255714050183693,0.05322065612593579,0.10152027903184341,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,88,1000,3.2368,3.0408176220953465,0.04223357808465759,0.08944248328493394,0.18353651162047505,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,89,1000,3.2548,3.0366594307124615,0.042175825426561966,0.06345484089247135,0.12559149164891226,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,90,1000,3.2607,3.0405260622501373,0.04222952864236302,0.05756020771537818,0.11336055749596638,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,91,1000,3.2365,2.995030775666237,0.04159764966203107,0.04891093057961406,0.09606197462470434,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,92,1000,3.2363,3.003248419612646,0.0417117836057312,0.07206991219707894,0.14912553022616928,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,93,1000,3.2623,3.0567769706249237,0.04245523570312394,0.046517660008231966,0.08953007144337315,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,94,1000,3.2356,2.9695746563374996,0.041244092449131936,0.06432167611125462,0.1263423273602075,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,95,1000,3.2579,2.9709682799875736,0.04126344833316074,0.06873322674483937,0.13679041573305134,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
05-01-2021_20h-50m-25s,96,1000,3.2324,2.968729481101036,0.041232353904181056,0.0723087874137071,0.1477947986289439,1,16,2,0.1,1,1,1,1,1,1,1,1,1,971.2859234809875
